Text,Question,Answer,Distractor_1,Distractor_2,Distractor_3,Distractor_4
"Paris is the capital city of France, known for its art, fashion, and culture.",What is the capital of France?,Paris,London,Berlin,Madrid,Rome
Mars is often called the Red Planet because of its reddish appearance.,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,Neptune
"William Shakespeare, an English playwright, wrote many famous plays including 'Romeo and Juliet'.",Who wrote 'Romeo and Juliet'?,William Shakespeare,Jane Austen,Mark Twain,Ernest Hemingway,Charles Dickens
"Water, with the chemical formula H2O, is essential for all forms of life.",What is the chemical symbol for water?,H2O,O2,CO2,H2,NH3
Charles Babbage is considered the father of the computer for his designs of mechanical computers.,Who is known as the father of computers?,Charles Babbage,Alan Turing,Isaac Newton,Ada Lovelace,John von Neumann
The blue whale is the largest mammal on Earth.,What is the largest mammal?,Blue Whale,Elephant,Shark,Giraffe,Dolphin
"Hydrogen, the first element in the periodic table, has the atomic number 1.",Which element has the atomic number 1?,Hydrogen,Oxygen,Carbon,Nitrogen,Helium
"Leonardo da Vinci, an Italian artist, painted the Mona Lisa.",Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,Raphael
Water freezes at 0 degrees Celsius under standard atmospheric conditions.,What is the freezing point of water in Celsius?,0,100,-10,-20,5
The heart is a vital organ that pumps blood throughout the body.,Which organ is responsible for pumping blood?,Heart,Liver,Lungs,Brain,Kidney
Portuguese is the primary language spoken in Brazil.,Which language is primarily spoken in Brazil?,Portuguese,Spanish,French,English,Italian
Diamond is the hardest natural substance known to man.,What is the hardest natural substance?,Diamond,Graphite,Gold,Steel,Ruby
The Yen is the official currency of Japan.,What is the currency of Japan?,Yen,Dollar,Euro,Pound,Ruble
Albert Einstein developed the theory of relativity.,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla,Stephen Hawking
Mount Everest is the tallest mountain in the world.,What is the tallest mountain in the world?,Mount Everest,K2,Kangchenjunga,Makalu,Lhotse
Mercury is the planet closest to the sun.,Which planet is closest to the sun?,Mercury,Venus,Earth,Mars,Pluto
Alexander Fleming discovered penicillin.,Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Edward Jenner
China has the largest population of any country in the world.,Which country has the largest population?,China,India,USA,Russia,Brazil
The chemical formula for table salt is NaCl.,What is the chemical formula for table salt?,NaCl,KCl,HCl,MgCl2,NaF
George Washington was the first president of the United States.,Who was the first president of the United States?,George Washington,Thomas Jefferson,John Adams,Benjamin Franklin,James Madison
